[2026-06-25T13:57:36.795] CC15 search started
[2026-06-25T13:57:36.795] range: 10^18 - 9220000000000000000
[2026-06-25T13:57:36.799] batch size: 10000000000000000
[2026-06-25T13:57:36.799] threads: 2
[2026-06-25T14:07:07.369] [36/822] 1,350,000,000,000,000,000-1,360,000,000,000,000,000 | 15.5s | found=0 total=0 | elapsed=571.0s ETA=208min -0.2%
[2026-06-25T14:07:22.871] [37/822] 1,360,000,000,000,000,000-1,370,000,000,000,000,000 | 15.5s | found=0 total=0 | elapsed=586.0s ETA=207min -0.1%
[2026-06-25T14:07:38.325] [38/822] 1,370,000,000,000,000,000-1,380,000,000,000,000,000 | 15.5s | found=0 total=0 | elapsed=602.0s ETA=207min 0.0%
[2026-06-25T14:07:53.704] [39/822] 1,380,000,000,000,000,000-1,390,000,000,000,000,000 | 15.4s | found=0 total=0 | elapsed=617.0s ETA=206min 0.1%
[2026-06-25T14:08:09.042] [40/822] 1,390,000,000,000,000,000-1,400,000,000,000,000,000 | 15.3s | found=0 total=0 | elapsed=632.0s ETA=206min 0.3%
[2026-06-25T14:08:24.333] [41/822] 1,400,000,000,000,000,000-1,410,000,000,000,000,000 | 15.3s | found=0 total=0 | elapsed=648.0s ETA=206min 0.4%
[2026-06-25T14:08:39.743] [42/822] 1,410,000,000,000,000,000-1,420,000,000,000,000,000 | 15.4s | found=0 total=0 | elapsed=663.0s ETA=205min 0.5%
[2026-06-25T14:08:55.325] [43/822] 1,420,000,000,000,000,000-1,430,000,000,000,000,000 | 15.6s | found=0 total=0 | elapsed=679.0s ETA=205min 0.6%
[2026-06-25T14:09:10.824] [44/822] 1,430,000,000,000,000,000-1,440,000,000,000,000,000 | 15.5s | found=0 total=0 | elapsed=694.0s ETA=205min 0.7%
[2026-06-25T14:09:26.268] [45/822] 1,440,000,000,000,000,000-1,450,000,000,000,000,000 | 15.4s | found=0 total=0 | elapsed=709.0s ETA=204min 0.9%
[2026-06-25T14:09:41.707] [46/822] 1,450,000,000,000,000,000-1,460,000,000,000,000,000 | 15.4s | found=0 total=0 | elapsed=725.0s ETA=204min 1.0%
[2026-06-25T14:09:57.252] [47/822] 1,460,000,000,000,000,000-1,470,000,000,000,000,000 | 15.5s | found=0 total=0 | elapsed=740.0s ETA=203min 1.1%
[2026-06-25T14:10:12.853] [48/822] 1,470,000,000,000,000,000-1,480,000,000,000,000,000 | 15.6s | found=0 total=0 | elapsed=756.0s ETA=203min -1.0%
[2026-06-25T14:10:28.397] [49/822] 1,480,000,000,000,000,000-1,490,000,000,000,000,000 | 15.5s | found=0 total=0 | elapsed=772.0s ETA=203min -0.9%
[2026-06-25T14:10:43.949] [50/822] 1,490,000,000,000,000,000-1,500,000,000,000,000,000 | 15.6s | found=0 total=0 | elapsed=787.0s ETA=203min -0.8%
[2026-06-25T14:10:59.561] [51/822] 1,500,000,000,000,000,000-1,510,000,000,000,000,000 | 15.6s | found=0 total=0 | elapsed=803.0s ETA=202min -0.6%
[2026-06-25T14:11:15.095] [52/822] 1,510,000,000,000,000,000-1,520,000,000,000,000,000 | 15.5s | found=0 total=0 | elapsed=818.0s ETA=202min -0.5%
[2026-06-25T14:11:30.923] [53/822] 1,520,000,000,000,000,000-1,530,000,000,000,000,000 | 15.8s | found=0 total=0 | elapsed=834.0s ETA=202min -0.4%
[2026-06-25T14:11:46.572] [54/822] 1,530,000,000,000,000,000-1,540,000,000,000,000,000 | 15.6s | found=0 total=0 | elapsed=850.0s ETA=201min -0.3%
[2026-06-25T14:12:02.199] [55/822] 1,540,000,000,000,000,000-1,550,000,000,000,000,000 | 15.6s | found=0 total=0 | elapsed=865.0s ETA=201min -0.2%
[2026-06-25T14:12:17.824] [56/822] 1,550,000,000,000,000,000-1,560,000,000,000,000,000 | 15.6s | found=0 total=0 | elapsed=881.0s ETA=201min -0.0%
[2026-06-25T14:12:33.522] [57/822] 1,560,000,000,000,000,000-1,570,000,000,000,000,000 | 15.7s | found=0 total=0 | elapsed=897.0s ETA=201min 0.1%
[2026-06-25T14:12:49.347] [58/822] 1,570,000,000,000,000,000-1,580,000,000,000,000,000 | 15.8s | found=0 total=0 | elapsed=913.0s ETA=200min 0.2%
[2026-06-25T14:13:04.960] [59/822] 1,580,000,000,000,000,000-1,590,000,000,000,000,000 | 15.6s | found=0 total=0 | elapsed=928.0s ETA=200min 0.3%
