CC15 sieve: wheel=14552571002970 residues=28664064 efficiency=507693
[266/822] 3,650,000,000,000,000,000-3,660,000,000,000,000,000 | 15.1s | found=0 total=0 | elapsed=563.0s ETA=20min 0.8%
[267/822] 3,660,000,000,000,000,000-3,670,000,000,000,000,000 | 15.1s | found=0 total=0 | elapsed=579.0s ETA=20min 0.9%
[268/822] 3,670,000,000,000,000,000-3,680,000,000,000,000,000 | 15.1s | found=0 total=0 | elapsed=594.0s ETA=20min 1.1%
[269/822] 3,680,000,000,000,000,000-3,690,000,000,000,000,000 | 15.1s | found=0 total=0 | elapsed=609.0s ETA=21min -1.1%
[270/822] 3,690,000,000,000,000,000-3,700,000,000,000,000,000 | 15.1s | found=0 total=0 | elapsed=624.0s ETA=21min -0.9%
[271/822] 3,700,000,000,000,000,000-3,710,000,000,000,000,000 | 15.1s | found=0 total=0 | elapsed=639.0s ETA=22min -0.8%
[272/822] 3,710,000,000,000,000,000-3,720,000,000,000,000,000 | 15.1s | found=0 total=0 | elapsed=654.0s ETA=22min -0.7%
[273/822] 3,720,000,000,000,000,000-3,730,000,000,000,000,000 | 15.1s | found=0 total=0 | elapsed=669.0s ETA=22min -0.6%
[274/822] 3,730,000,000,000,000,000-3,740,000,000,000,000,000 | 15.1s | found=0 total=0 | elapsed=684.0s ETA=23min -0.5%
[275/822] 3,740,000,000,000,000,000-3,750,000,000,000,000,000 | 15.2s | found=0 total=0 | elapsed=700.0s ETA=23min -0.3%
[276/822] 3,750,000,000,000,000,000-3,760,000,000,000,000,000 | 15.2s | found=0 total=0 | elapsed=715.0s ETA=24min -0.2%
[277/822] 3,760,000,000,000,000,000-3,770,000,000,000,000,000 | 15.1s | found=0 total=0 | elapsed=730.0s ETA=24min -0.1%
[278/822] 3,770,000,000,000,000,000-3,780,000,000,000,000,000 | 15.1s | found=0 total=0 | elapsed=745.0s ETA=24min 0.0%
[279/822] 3,780,000,000,000,000,000-3,790,000,000,000,000,000 | 15.3s | found=0 total=0 | elapsed=760.0s ETA=25min 0.2%
[280/822] 3,790,000,000,000,000,000-3,800,000,000,000,000,000 | 15.1s | found=0 total=0 | elapsed=775.0s ETA=25min 0.3%
[281/822] 3,800,000,000,000,000,000-3,810,000,000,000,000,000 | 15.1s | found=0 total=0 | elapsed=790.0s ETA=25min 0.4%
[282/822] 3,810,000,000,000,000,000-3,820,000,000,000,000,000 | 15.1s | found=0 total=0 | elapsed=806.0s ETA=26min 0.5%
[283/822] 3,820,000,000,000,000,000-3,830,000,000,000,000,000 | 15.1s | found=0 total=0 | elapsed=821.0s ETA=26min 0.6%
[284/822] 3,830,000,000,000,000,000-3,840,000,000,000,000,000 | 15.1s | found=0 total=0 | elapsed=836.0s ETA=26min 0.8%
[285/822] 3,840,000,000,000,000,000-3,850,000,000,000,000,000 | 15.1s | found=0 total=0 | elapsed=851.0s ETA=27min 0.9%
[286/822] 3,850,000,000,000,000,000-3,860,000,000,000,000,000 | 15.1s | found=0 total=0 | elapsed=866.0s ETA=27min 1.0%
[287/822] 3,860,000,000,000,000,000-3,870,000,000,000,000,000 | 15.1s | found=0 total=0 | elapsed=881.0s ETA=27min -1.1%
[288/822] 3,870,000,000,000,000,000-3,880,000,000,000,000,000 | 15.1s | found=0 total=0 | elapsed=896.0s ETA=28min -1.0%
[289/822] 3,880,000,000,000,000,000-3,890,000,000,000,000,000 | 15.1s | found=0 total=0 | elapsed=911.0s ETA=28min -0.9%
[290/822] 3,890,000,000,000,000,000-3,900,000,000,000,000,000 | 15.1s | found=0 total=0 | elapsed=926.0s ETA=28min -0.7%
[291/822] 3,900,000,000,000,000,000-3,910,000,000,000,000,000 | 15.1s | found=0 total=0 | elapsed=941.0s ETA=29min -0.6%
[292/822] 3,910,000,000,000,000,000-3,920,000,000,000,000,000 | 15.1s | found=0 total=0 | elapsed=957.0s ETA=29min -0.5%
[293/822] 3,920,000,000,000,000,000-3,930,000,000,000,000,000 | 15.1s | found=0 total=0 | elapsed=972.0s ETA=29min -0.4%
[294/822] 3,930,000,000,000,000,000-3,940,000,000,000,000,000 | 15.1s | found=0 total=0 | elapsed=987.0s ETA=30min -0.3%
[295/822] 3,940,000,000,000,000,000-3,950,000,000,000,000,000 | 15.1s | found=0 total=0 | elapsed=1002.0s ETA=30min -0.1%
[296/822] 3,950,000,000,000,000,000-3,960,000,000,000,000,000 | 15.1s | found=0 total=0 | elapsed=1017.0s ETA=30min -0.0%
[297/822] 3,960,000,000,000,000,000-3,970,000,000,000,000,000 | 15.1s | found=0 total=0 | elapsed=1032.0s ETA=30min 0.1%
[298/822] 3,970,000,000,000,000,000-3,980,000,000,000,000,000 | 15.1s | found=0 total=0 | elapsed=1047.0s ETA=31min 0.2%
