CC15 sieve: wheel=14552571002970 residues=28664064 efficiency=507693
[45/822] 1,440,000,000,000,000,000-1,450,000,000,000,000,000 | 15.4s | found=0 total=0 | elapsed=709.0s ETA=204min 0.9%
[46/822] 1,450,000,000,000,000,000-1,460,000,000,000,000,000 | 15.4s | found=0 total=0 | elapsed=725.0s ETA=204min 1.0%
[47/822] 1,460,000,000,000,000,000-1,470,000,000,000,000,000 | 15.5s | found=0 total=0 | elapsed=740.0s ETA=203min 1.1%
[48/822] 1,470,000,000,000,000,000-1,480,000,000,000,000,000 | 15.6s | found=0 total=0 | elapsed=756.0s ETA=203min -1.0%
[49/822] 1,480,000,000,000,000,000-1,490,000,000,000,000,000 | 15.5s | found=0 total=0 | elapsed=772.0s ETA=203min -0.9%
[50/822] 1,490,000,000,000,000,000-1,500,000,000,000,000,000 | 15.6s | found=0 total=0 | elapsed=787.0s ETA=203min -0.8%
[51/822] 1,500,000,000,000,000,000-1,510,000,000,000,000,000 | 15.6s | found=0 total=0 | elapsed=803.0s ETA=202min -0.6%
[52/822] 1,510,000,000,000,000,000-1,520,000,000,000,000,000 | 15.5s | found=0 total=0 | elapsed=818.0s ETA=202min -0.5%
[53/822] 1,520,000,000,000,000,000-1,530,000,000,000,000,000 | 15.8s | found=0 total=0 | elapsed=834.0s ETA=202min -0.4%
[54/822] 1,530,000,000,000,000,000-1,540,000,000,000,000,000 | 15.6s | found=0 total=0 | elapsed=850.0s ETA=201min -0.3%
[55/822] 1,540,000,000,000,000,000-1,550,000,000,000,000,000 | 15.6s | found=0 total=0 | elapsed=865.0s ETA=201min -0.2%
[56/822] 1,550,000,000,000,000,000-1,560,000,000,000,000,000 | 15.6s | found=0 total=0 | elapsed=881.0s ETA=201min -0.0%
[57/822] 1,560,000,000,000,000,000-1,570,000,000,000,000,000 | 15.7s | found=0 total=0 | elapsed=897.0s ETA=201min 0.1%
[58/822] 1,570,000,000,000,000,000-1,580,000,000,000,000,000 | 15.8s | found=0 total=0 | elapsed=913.0s ETA=200min 0.2%
[59/822] 1,580,000,000,000,000,000-1,590,000,000,000,000,000 | 15.6s | found=0 total=0 | elapsed=928.0s ETA=200min 0.3%
[60/822] 1,590,000,000,000,000,000-1,600,000,000,000,000,000 | 15.6s | found=0 total=0 | elapsed=944.0s ETA=200min 0.4%
[61/822] 1,600,000,000,000,000,000-1,610,000,000,000,000,000 | 15.8s | found=0 total=0 | elapsed=960.0s ETA=200min 0.6%
[62/822] 1,610,000,000,000,000,000-1,620,000,000,000,000,000 | 15.7s | found=0 total=0 | elapsed=975.0s ETA=199min 0.7%
[63/822] 1,620,000,000,000,000,000-1,630,000,000,000,000,000 | 15.6s | found=0 total=0 | elapsed=991.0s ETA=199min 0.8%
[64/822] 1,630,000,000,000,000,000-1,640,000,000,000,000,000 | 15.6s | found=0 total=0 | elapsed=1006.0s ETA=199min 0.9%
[65/822] 1,640,000,000,000,000,000-1,650,000,000,000,000,000 | 15.6s | found=0 total=0 | elapsed=1022.0s ETA=198min 1.1%
[66/822] 1,650,000,000,000,000,000-1,660,000,000,000,000,000 | 15.6s | found=0 total=0 | elapsed=1038.0s ETA=198min -1.1%
[67/822] 1,660,000,000,000,000,000-1,670,000,000,000,000,000 | 15.7s | found=0 total=0 | elapsed=1054.0s ETA=198min -0.9%
[68/822] 1,670,000,000,000,000,000-1,680,000,000,000,000,000 | 15.6s | found=0 total=0 | elapsed=1069.0s ETA=198min -0.8%
[69/822] 1,680,000,000,000,000,000-1,690,000,000,000,000,000 | 15.5s | found=0 total=0 | elapsed=1085.0s ETA=197min -0.7%
[70/822] 1,690,000,000,000,000,000-1,700,000,000,000,000,000 | 15.7s | found=0 total=0 | elapsed=1100.0s ETA=197min -0.6%
[71/822] 1,700,000,000,000,000,000-1,710,000,000,000,000,000 | 15.6s | found=0 total=0 | elapsed=1116.0s ETA=197min -0.5%
[72/822] 1,710,000,000,000,000,000-1,720,000,000,000,000,000 | 15.6s | found=0 total=0 | elapsed=1132.0s ETA=197min -0.3%
[73/822] 1,720,000,000,000,000,000-1,730,000,000,000,000,000 | 15.5s | found=0 total=0 | elapsed=1147.0s ETA=196min -0.2%
[74/822] 1,730,000,000,000,000,000-1,740,000,000,000,000,000 | 15.9s | found=0 total=0 | elapsed=1163.0s ETA=196min -0.1%
[75/822] 1,740,000,000,000,000,000-1,750,000,000,000,000,000 | 15.9s | found=0 total=0 | elapsed=1179.0s ETA=196min 0.0%
[76/822] 1,750,000,000,000,000,000-1,760,000,000,000,000,000 | 15.9s | found=0 total=0 | elapsed=1195.0s ETA=195min 0.1%
[77/822] 1,760,000,000,000,000,000-1,770,000,000,000,000,000 | 15.9s | found=0 total=0 | elapsed=1211.0s ETA=195min 0.3%
[78/822] 1,770,000,000,000,000,000-1,780,000,000,000,000,000 | 15.9s | found=0 total=0 | elapsed=1227.0s ETA=195min 0.4%
[79/822] 1,780,000,000,000,000,000-1,790,000,000,000,000,000 | 16.0s | found=0 total=0 | elapsed=1243.0s ETA=195min 0.5%
[80/822] 1,790,000,000,000,000,000-1,800,000,000,000,000,000 | 15.9s | found=0 total=0 | elapsed=1259.0s ETA=195min 0.6%
[81/822] 1,800,000,000,000,000,000-1,810,000,000,000,000,000 | 15.8s | found=0 total=0 | elapsed=1274.0s ETA=194min 0.8%
[82/822] 1,810,000,000,000,000,000-1,820,000,000,000,000,000 | 15.5s | found=0 total=0 | elapsed=1290.0s ETA=194min 0.9%
[83/822] 1,820,000,000,000,000,000-1,830,000,000,000,000,000 | 15.5s | found=0 total=0 | elapsed=1305.0s ETA=194min 1.0%
[84/822] 1,830,000,000,000,000,000-1,840,000,000,000,000,000 | 15.7s | found=0 total=0 | elapsed=1321.0s ETA=193min 1.1%
[85/822] 1,840,000,000,000,000,000-1,850,000,000,000,000,000 | 15.7s | found=0 total=0 | elapsed=1337.0s ETA=193min -1.0%
